When,Province,Earnings
01/01/2001,NAICS,
02/01/2001,NAICS,
03/01/2001,NAICS,
04/01/2001,NAICS,
05/01/2001,NAICS,
06/01/2001,NAICS,
07/01/2001,NAICS,
08/01/2001,NAICS,
09/01/2001,NAICS,
10/01/2001,NAICS,
11/01/2001,NAICS,
12/01/2001,NAICS,
01/01/2002,NAICS,
02/01/2002,NAICS,
03/01/2002,NAICS,
04/01/2002,NAICS,
05/01/2002,NAICS,
06/01/2002,NAICS,
07/01/2002,NAICS,
08/01/2002,NAICS,
09/01/2002,NAICS,
10/01/2002,NAICS,
11/01/2002,NAICS,
12/01/2002,NAICS,
01/01/2003,NAICS,
02/01/2003,NAICS,
03/01/2003,NAICS,
04/01/2003,NAICS,
05/01/2003,NAICS,
06/01/2003,NAICS,
07/01/2003,NAICS,
08/01/2003,NAICS,
09/01/2003,NAICS,
10/01/2003,NAICS,
11/01/2003,NAICS,
12/01/2003,NAICS,
01/01/2004,NAICS,
02/01/2004,NAICS,
03/01/2004,NAICS,
04/01/2004,NAICS,
05/01/2004,NAICS,
06/01/2004,NAICS,
07/01/2004,NAICS,
08/01/2004,NAICS,
09/01/2004,NAICS,
10/01/2004,NAICS,
11/01/2004,NAICS,
12/01/2004,NAICS,
01/01/2005,NAICS,
02/01/2005,NAICS,
03/01/2005,NAICS,
04/01/2005,NAICS,
05/01/2005,NAICS,
06/01/2005,NAICS,
07/01/2005,NAICS,
08/01/2005,NAICS,
09/01/2005,NAICS,
10/01/2005,NAICS,
11/01/2005,NAICS,
12/01/2005,NAICS,
01/01/2006,NAICS,
02/01/2006,NAICS,
03/01/2006,NAICS,
04/01/2006,NAICS,
05/01/2006,NAICS,
06/01/2006,NAICS,
07/01/2006,NAICS,
08/01/2006,NAICS,
09/01/2006,NAICS,
10/01/2006,NAICS,
11/01/2006,NAICS,
12/01/2006,NAICS,
01/01/2007,NAICS,
02/01/2007,NAICS,
03/01/2007,NAICS,
04/01/2007,NAICS,
05/01/2007,NAICS,
06/01/2007,NAICS,
07/01/2007,NAICS,
08/01/2007,NAICS,
09/01/2007,NAICS,
10/01/2007,NAICS,
11/01/2007,NAICS,
12/01/2007,NAICS,
01/01/2008,NAICS,
02/01/2008,NAICS,
03/01/2008,NAICS,
04/01/2008,NAICS,
05/01/2008,NAICS,
06/01/2008,NAICS,
07/01/2008,NAICS,
08/01/2008,NAICS,
09/01/2008,NAICS,
10/01/2008,NAICS,
11/01/2008,NAICS,
12/01/2008,NAICS,
01/01/2009,NAICS,
02/01/2009,NAICS,
03/01/2009,NAICS,
04/01/2009,NAICS,
05/01/2009,NAICS,
06/01/2009,NAICS,
07/01/2009,NAICS,
08/01/2009,NAICS,
09/01/2009,NAICS,
10/01/2009,NAICS,
11/01/2009,NAICS,
12/01/2009,NAICS,
01/01/2010,NAICS,
02/01/2010,NAICS,
03/01/2010,NAICS,
04/01/2010,NAICS,
05/01/2010,NAICS,
