When,NAICS,Alberta,British Columbia,Canada,Manitoba,New Brunswick,Newfoundland And Labrador,Nova Scotia,Ontario,Prince Edward Island,Quebec,Saskatchewan
01/01/2001,,2682.16,2641.92,2632.08,2315.8,2339,2376,2285.12,2794.28,2142.6,2499.24,2386.12
02/01/2001,,2682.08,2637.32,2623.16,2322.52,2340.44,2367.68,2280.24,2774.76,2128.08,2495.72,2380.36
03/01/2001,,2673.96,2616.28,2623.52,2314.68,2336.52,2373.88,2282.8,2788.32,2138.84,2491.76,2356.36
04/01/2001,,2686.84,2628.6,2616.36,2305.44,2323.68,2367.84,2274.8,2774.92,2090,2476.48,2357.48
05/01/2001,,2657.8,2612.92,2600.08,2287.36,2313.76,2352.76,2271.84,2753.08,2089.24,2475.6,2349.64
06/01/2001,,2702.88,2645.96,2632.24,2354.64,2331.16,2367.4,2305.68,2789.48,2117.88,2494,2390.6
07/01/2001,,2691.84,2622.52,2621.52,2345.24,2322.28,2363.64,2304.64,2786.6,2038.2,2479.92,2361.24
08/01/2001,,2694.4,2614.2,2622.16,2369.28,2411.4,2374.12,2318.16,2764.36,2137.88,2500.2,2394.52
09/01/2001,,2768.72,2636.6,2642,2350.92,2377.64,2403.8,2307,2797.92,2127.56,2488.68,2403.8
10/01/2001,,2772.52,2657.72,2644.44,2349.56,2382.96,2385.96,2331.08,2788.24,2140.96,2495.2,2414.76
11/01/2001,,2703.2,2620.28,2638.6,2346.24,2392.44,2341.08,2332.6,2804.16,2142.48,2503.32,2363.6
12/01/2001,,2696.36,2634.88,2645.52,2372.12,2409.48,2376.12,2376.64,2790.44,2239.2,2524.36,2423.08
01/01/2002,,2732.44,2622.24,2656.84,2358.48,2396.76,2396.76,2367,2794.92,2250.4,2555.92,2416.68
02/01/2002,,2754.16,2660.96,2650.6,2377.24,2385.16,2361.48,2346.4,2796.6,2204.16,2502.04,2397.08
03/01/2002,,2770.28,2707.28,2667.72,2390.2,2405.96,2400.2,2359.8,2814.84,2262.12,2500.2,2420.52
04/01/2002,,2783.84,2717.76,2698.4,2405.44,2416.72,2419.12,2380.8,2847.4,2235.8,2555.24,2446.68
05/01/2002,,2723.4,2666.2,2679.24,2391.76,2413.16,2444.24,2393.88,2825.88,2241.2,2574.72,2392.72
06/01/2002,,2773.84,2668.08,2687.04,2408.48,2416.84,2428.32,2405.92,2845.64,2250.6,2548.4,2414.56
07/01/2002,,2779.68,2684.16,2701.96,2429.76,2419.64,2430.2,2417.92,2864.68,2162.96,2561.04,2440.6
