Date,Composite_HPI,Single_Family_HPI,One_Storey_HPI,Two_Storey_HPI,Townhouse_HPI,Apartment_HPI,Composite_Benchmark,Single_Family_Benchmark,One_Storey_Benchmark,Two_Storey_Benchmark,Townhouse_Benchmark,Apartment_Benchmark,Sheet Name,Province
01/09/2020,257,259.2,253.1,263.1,255.2,251.3,637800,693300,556300,808200,540500,478900,Aggregate,N/A
01/09/2020,255.9,247.2,250.7,237.1,265.9,288.1,509600,527300,516800,567500,434300,309400,Vancouver_Island,BC
01/09/2020,230.5,222.1,228.2,215.7,220,246.5,716800,793000,755700,873300,612300,502600,Victoria,BC
01/09/2020,274.5,277.8,283.2,275.1,254.4,281.3,979800,1310300,1059100,1492500,701400,656600,Lower_Mainland,BC
01/09/2020,273.2,279.4,280.1,279.1,259.8,273.3,1041300,1517100,1201300,1688800,809900,683500,Greater_Vancouver,BC
01/09/2020,276.8,275.8,285.6,268.4,249.3,305,867700,1030400,921300,1147800,567300,436900,Fraser_Valley,BC
01/09/2020,222,231.8,234.1,226.3,202.2,222.8,531600,624800,601600,695200,442500,365000,Okanagan_Valley,BC
01/09/2020,188.7,195,194.8,195.1,171.4,172.2,415200,466900,433100,502800,280700,249900,Calgary,AB
01/09/2020,184.5,190.3,195.7,185.6,172.5,158.1,323100,378100,351800,432100,212600,183100,Edmonton,AB
01/09/2020,256.2,264.2,274.3,246.9,222.7,194.5,278800,290700,278200,333300,241300,179100,Regina,SK
01/09/2020,225.6,229.6,231.2,226.8,191.5,220.9,303900,322700,301500,384100,235400,181100,Saskatoon,SK
01/09/2020,240.2,247.6,250.2,243.2,203.7,183.6,286600,298100,287000,312200,237100,196900,Winnipeg,MB
01/09/2020,263.4,263.4,266.1,255.9,,,315500,315500,314800,315100,,,Bancroft_and_Area,ON
01/09/2020,263.6,265.3,271.5,260.9,294.4,229.4,550900,569800,561800,575500,390900,381700,Barrie_and_District,ON
01/09/2020,278.3,279,262.3,293.2,276.9,269.3,489600,505200,499200,494600,342100,292000,Brantford_Region,ON
01/09/2020,286.1,290.2,302.4,285.5,274,237.8,599300,611800,620100,610100,441700,515900,Cambridge,ON
01/09/2020,240.4,239.4,246.2,232.1,274.9,235.1,375200,376200,373300,379500,319300,277400,Grey_Bruce_Owen_Sound,ON
01/09/2020,257.4,260.9,267.2,258.1,257.5,235.8,639800,667000,665000,671700,454700,380000,Guelph_and_District,ON
01/09/2020,318.9,323.8,312,328.8,299.9,302.3,718600,767600,702900,803200,571500,471300,Hamilton_Burlington,ON
01/09/2020,238,237.7,238.3,237.2,,251.9,388100,388200,391800,384900,,310100,Huron_Perth,ON
01/09/2020,249.9,249.9,247,255,,,459100,459100,457500,461300,,,Kawartha_Lakes,ON
01/09/2020,300.7,308.8,313.5,307.3,291.1,260.9,587200,647600,638400,649300,425500,316500,Kitchener_Waterloo,ON
01/09/2020,257,260.5,262.2,257.7,,184.8,507400,515400,519000,509400,,352800,Lakelands,ON
01/09/2020,288.3,286.4,287,286.1,307.3,273.3,453600,484400,445900,529100,368800,282400,London_St_Thomas,ON
01/09/2020,291.4,280.9,274.9,282.1,317.5,300.4,942800,1118000,1079200,1126400,743600,551700,Mississauga,ON
01/09/2020,284.5,286,286.2,285.9,276.1,258.5,491100,499600,479800,525900,419900,350000,Niagara_Region,ON
01/09/2020,200.6,200.6,197,205.4,,,278800,278800,285200,267200,,,North_Bay,ON
01/09/2020,263.4,266.7,260.9,273.4,198.8,,504300,510500,492300,535400,381700,,Northumberland_Hills,ON
01/09/2020,301.4,304.4,310.6,303.6,322.2,272.5,1143200,1188000,1173100,1191700,795200,609300,Oakville_Milton,ON
01/09/2020,233.8,239.5,238.7,239.8,237,207.8,529900,580700,510300,610600,375700,376000,Ottawa,ON
01/09/2020,259,259,249.5,273.2,,,486400,486400,463400,521500,,,Peterborough_and_Kawarthas,ON
01/09/2020,271.5,272,257,293.5,250.8,,402100,402900,398400,395700,368700,,Quinte_and_District,ON
01/09/2020,289.9,289.5,284.2,297.7,345.2,,428800,428200,443000,392900,480500,,Simcoe_and_District,ON
01/09/2020,261.9,271.6,269.6,274.6,211.9,210.7,477100,493700,476000,527900,407700,358300,Southern_Georgian_Bay,ON
01/09/2020,284.4,284.4,274.6,298.3,,,391700,391700,406800,361300,,,Tillsonburg_District,ON
01/09/2020,295.8,294.6,298.7,293.4,308.4,294.7,897700,1013000,903500,1051300,677500,590700,Greater_Toronto,ON
01/09/2020,296.7,296.5,269.4,314.3,299.2,,448500,462700,425800,483600,287400,,Woodstock_Ingersoll,ON
01/09/2020,214.7,225.5,225.8,225.1,224.3,196.9,413000,455400,375200,549900,430500,321400,Montreal_CMA,QC
01/09/2020,197.1,208.3,207.4,209.4,177,166.8,260200,284700,252900,333200,231400,193100,Quebec_CMA,QC
01/09/2020,185.4,186.3,196.1,176.6,171.4,152.4,220500,221800,243600,213300,171000,199500,Greater_Moncton,NB
01/09/2020,220.6,222.2,242.8,185.1,190.6,177.8,278500,280100,274400,267000,255200,241800,Newfoundland_and_Labrador,NL
01/09/2020,192.1,193.4,201.3,186.9,191.2,177.4,268100,270200,269000,270200,260100,241400,St_Johns_NL,NL
